,speech
0,"{'sdr': -1.5386201441287994, 'r2': 0.412344753742218, 'rmse': 0.06713221}"
1,"{'sdr': -1.2034140527248383, 'r2': 0.43116557598114014, 'rmse': 0.064590804}"
2,"{'sdr': -1.6172818839550018, 'r2': 0.4079616665840149, 'rmse': 0.06774295}"
3,"{'sdr': -0.9032397717237473, 'r2': 0.44819188117980957, 'rmse': 0.062396754}"
4,"{'sdr': -1.0412800312042236, 'r2': 0.440346360206604, 'rmse': 0.06339631}"
5,"{'sdr': -1.0250677168369293, 'r2': 0.4412647485733032, 'rmse': 0.063278094}"
6,"{'sdr': -0.24857886135578156, 'r2': 0.4856948256492615, 'rmse': 0.057866734}"
7,"{'sdr': -1.243235394358635, 'r2': 0.4289183020591736, 'rmse': 0.064887606}"
8,"{'sdr': -1.4129093289375305, 'r2': 0.4193761944770813, 'rmse': 0.066167615}"
9,"{'sdr': -1.742626577615738, 'r2': 0.4010106325149536, 'rmse': 0.06872762}"
10,"{'sdr': -0.3361651301383972, 'r2': 0.4806585907936096, 'rmse': 0.058453195}"
11,"{'sdr': -1.4742915332317352, 'r2': 0.4159395098686218, 'rmse': 0.06663687}"
12,"{'sdr': -1.5399156510829926, 'r2': 0.4122723340988159, 'rmse': 0.06714225}"
13,"{'sdr': -1.345757246017456, 'r2': 0.4231460690498352, 'rmse': 0.065658025}"
14,"{'sdr': -1.3408713042736053, 'r2': 0.42341887950897217, 'rmse': 0.06562111}"
15,"{'sdr': -1.4054103195667267, 'r2': 0.4197959303855896, 'rmse': 0.06611052}"
16,"{'sdr': -1.3924972712993622, 'r2': 0.4205211400985718, 'rmse': 0.0660123}"
17,"{'sdr': -0.13491889461874962, 'r2': 0.49223411083221436, 'rmse': 0.05711444}"
18,"{'sdr': -0.27658388018608093, 'r2': 0.48408395051956177, 'rmse': 0.0580536}"
19,"{'sdr': -0.7889097183942795, 'r2': 0.4547111392021179, 'rmse': 0.06158083}"
20,"{'sdr': -0.8191397786140442, 'r2': 0.45298588275909424, 'rmse': 0.061795518}"
21,"{'sdr': -1.07379712164402, 'r2': 0.43849968910217285, 'rmse': 0.06363409}"
22,"{'sdr': -1.3591273128986359, 'r2': 0.4223948121070862, 'rmse': 0.06575917}"
23,"{'sdr': -1.27476304769516, 'r2': 0.42714112997055054, 'rmse': 0.065123565}"
24,"{'sdr': -1.7965871095657349, 'r2': 0.3980281352996826, 'rmse': 0.069155924}"
25,"{'sdr': -0.8604108542203903, 'r2': 0.45063215494155884, 'rmse': 0.062089838}"
26,"{'sdr': -1.1352942138910294, 'r2': 0.43501603603363037, 'rmse': 0.06408623}"
27,"{'sdr': -0.8774767071008682, 'r2': 0.4496595859527588, 'rmse': 0.06221195}"
28,"{'sdr': -1.2754417955875397, 'r2': 0.42710334062576294, 'rmse': 0.065128654}"
29,"{'sdr': -1.5861427783966064, 'r2': 0.40969598293304443, 'rmse': 0.067500524}"
30,"{'sdr': -1.382615566253662, 'r2': 0.42107629776000977, 'rmse': 0.06593724}"
31,"{'sdr': -0.9825323522090912, 'r2': 0.44367504119873047, 'rmse': 0.06296898}"
32,"{'sdr': -1.2881393730640411, 'r2': 0.4263874888420105, 'rmse': 0.06522394}"
33,"{'sdr': -1.716083288192749, 'r2': 0.40247994661331177, 'rmse': 0.068517916}"
34,"{'sdr': -1.4950314164161682, 'r2': 0.4147791862487793, 'rmse': 0.066796176}"
35,"{'sdr': -1.3289523124694824, 'r2': 0.4240528345108032, 'rmse': 0.06553113}"
36,"{'sdr': -0.8576750755310059, 'r2': 0.4507889747619629, 'rmse': 0.062070284}"
37,"{'sdr': -1.4327634871006012, 'r2': 0.41826343536376953, 'rmse': 0.066319026}"
38,"{'sdr': -1.3827984035015106, 'r2': 0.42106401920318604, 'rmse': 0.06593863}"
39,"{'sdr': -1.339995563030243, 'r2': 0.4234698414802551, 'rmse': 0.065614484}"
40,"{'sdr': -1.1644869297742844, 'r2': 0.4333558678627014, 'rmse': 0.06430199}"
41,"{'sdr': -1.299244910478592, 'r2': 0.425762414932251, 'rmse': 0.06530737}"
42,"{'sdr': -1.0605011135339737, 'r2': 0.4392537474632263, 'rmse': 0.06353676}"
43,"{'sdr': -1.3736501336097717, 'r2': 0.42157816886901855, 'rmse': 0.06586921}"
44,"{'sdr': -1.0330408811569214, 'r2': 0.44081175327301025, 'rmse': 0.06333621}"
45,"{'sdr': -1.0026712715625763, 'r2': 0.4425366520881653, 'rmse': 0.06311514}"
46,"{'sdr': -1.4938744902610779, 'r2': 0.4148423671722412, 'rmse': 0.06678728}"
47,"{'sdr': -1.4930398762226105, 'r2': 0.4148901700973511, 'rmse': 0.06678086}"
48,"{'sdr': -1.9882875680923462, 'r2': 0.38750362396240234, 'rmse': 0.07069918}"
49,"{'sdr': -1.3393720984458923, 'r2': 0.42350494861602783, 'rmse': 0.06560978}"
50,"{'sdr': -2.1266262233257294, 'r2': 0.37997275590896606, 'rmse': 0.071834214}"
51,"{'sdr': -1.0835214704275131, 'r2': 0.43794864416122437, 'rmse': 0.063705385}"
52,"{'sdr': -1.1945895105600357, 'r2': 0.4316643476486206, 'rmse': 0.06452521}"
53,"{'sdr': -1.4195194840431213, 'r2': 0.4190062880516052, 'rmse': 0.06621799}"
54,"{'sdr': -1.2815175950527191, 'r2': 0.4267479181289673, 'rmse': 0.06517422}"
55,"{'sdr': -1.3672658801078796, 'r2': 0.4219375252723694, 'rmse': 0.06582083}"
56,"{'sdr': -1.3564831018447876, 'r2': 0.4225432276725769, 'rmse': 0.06573916}"
57,"{'sdr': -1.223306879401207, 'r2': 0.43004024028778076, 'rmse': 0.0647389}"
58,"{'sdr': -1.4407649636268616, 'r2': 0.4178153872489929, 'rmse': 0.06638015}"
59,"{'sdr': -1.678062528371811, 'r2': 0.4045870304107666, 'rmse': 0.06821865}"
60,"{'sdr': -1.2343832850456238, 'r2': 0.42941683530807495, 'rmse': 0.06482151}"
61,"{'sdr': -1.0100225359201431, 'r2': 0.4421120882034302, 'rmse': 0.063168585}"
62,"{'sdr': -1.5262757241725922, 'r2': 0.41303324699401855, 'rmse': 0.067036875}"
63,"{'sdr': -1.4107796549797058, 'r2': 0.419483482837677, 'rmse': 0.066151395}"
64,"{'sdr': -1.3369646668434143, 'r2': 0.42364031076431274, 'rmse': 0.065591596}"
65,"{'sdr': -1.8331801891326904, 'r2': 0.396013081073761, 'rmse': 0.06944788}"
66,"{'sdr': -1.2252556532621384, 'r2': 0.4299287796020508, 'rmse': 0.064753436}"
67,"{'sdr': -1.5686509013175964, 'r2': 0.4106120467185974, 'rmse': 0.06736473}"
68,"{'sdr': -1.2282805889844894, 'r2': 0.42976319789886475, 'rmse': 0.06477598}"
69,"{'sdr': -1.4270111918449402, 'r2': 0.4185858964920044, 'rmse': 0.06627513}"
70,"{'sdr': -1.4485757052898407, 'r2': 0.41737812757492065, 'rmse': 0.06643987}"
71,"{'sdr': -1.2779600918293, 'r2': 0.4269610047340393, 'rmse': 0.06514753}"
72,"{'sdr': -1.4733579754829407, 'r2': 0.4159908890724182, 'rmse': 0.0666297}"
73,"{'sdr': -0.8882863819599152, 'r2': 0.44904249906539917, 'rmse': 0.06228943}"
74,"{'sdr': -1.136149987578392, 'r2': 0.4349672198295593, 'rmse': 0.06409255}"
75,"{'sdr': -1.262296438217163, 'r2': 0.4278433918952942, 'rmse': 0.06503016}"
76,"{'sdr': -1.3972936570644379, 'r2': 0.4202513098716736, 'rmse': 0.06604876}"
77,"{'sdr': -1.5058545768260956, 'r2': 0.4141741394996643, 'rmse': 0.06687946}"
78,"{'sdr': -1.8209151923656464, 'r2': 0.39669811725616455, 'rmse': 0.06934989}"
79,"{'sdr': -1.6535820066928864, 'r2': 0.4059457778930664, 'rmse': 0.068026654}"
80,"{'sdr': -1.334671825170517, 'r2': 0.4237692356109619, 'rmse': 0.06557429}"
81,"{'sdr': -1.4106523990631104, 'r2': 0.41950279474258423, 'rmse': 0.06615043}"
82,"{'sdr': -1.5305863320827484, 'r2': 0.41279345750808716, 'rmse': 0.06707016}"
83,"{'sdr': -1.6098707914352417, 'r2': 0.4083750247955322, 'rmse': 0.06768518}"
84,"{'sdr': -1.158856824040413, 'r2': 0.4336850643157959, 'rmse': 0.06426032}"
85,"{'sdr': -0.6755320727825165, 'r2': 0.4611912965774536, 'rmse': 0.060782228}"
86,"{'sdr': -1.3381555676460266, 'r2': 0.4235727787017822, 'rmse': 0.06560059}"
87,"{'sdr': -0.9994399547576904, 'r2': 0.4427194595336914, 'rmse': 0.063091666}"
88,"{'sdr': -1.604195237159729, 'r2': 0.40869104862213135, 'rmse': 0.06764097}"
89,"{'sdr': -1.244792491197586, 'r2': 0.42883068323135376, 'rmse': 0.064899236}"
90,"{'sdr': -1.2793214619159698, 'r2': 0.4268827438354492, 'rmse': 0.06515775}"
91,"{'sdr': -1.0361191630363464, 'r2': 0.44063740968704224, 'rmse': 0.063358665}"
92,"{'sdr': -1.4169283211231232, 'r2': 0.4191510081291199, 'rmse': 0.06619823}"
93,"{'sdr': -1.057915985584259, 'r2': 0.43940138816833496, 'rmse': 0.06351786}"
94,"{'sdr': -1.1549834907054901, 'r2': 0.4339025020599365, 'rmse': 0.06423167}"
95,"{'sdr': -1.736488789319992, 'r2': 0.4013504385948181, 'rmse': 0.06867908}"
96,"{'sdr': -1.464196890592575, 'r2': 0.4165036678314209, 'rmse': 0.06655947}"
97,"{'sdr': -1.219966858625412, 'r2': 0.4302312731742859, 'rmse': 0.06471402}"
98,"{'sdr': -1.116228699684143, 'r2': 0.4360958933830261, 'rmse': 0.06394572}"
99,"{'sdr': -1.5350645780563354, 'r2': 0.41254323720932007, 'rmse': 0.06710474}"
100,"{'sdr': -1.5534377098083496, 'r2': 0.4115177392959595, 'rmse': 0.067246854}"
101,"{'sdr': -1.0839632898569107, 'r2': 0.4379236698150635, 'rmse': 0.063708626}"
102,"{'sdr': -1.6233210265636444, 'r2': 0.4076268672943115, 'rmse': 0.06779007}"
103,"{'sdr': -1.2377990782260895, 'r2': 0.42922502756118774, 'rmse': 0.06484701}"
104,"{'sdr': -1.4107534289360046, 'r2': 0.4194965958595276, 'rmse': 0.066151194}"
105,"{'sdr': -1.3901622593402863, 'r2': 0.4206520915031433, 'rmse': 0.06599456}"
106,"{'sdr': -0.9790078550577164, 'r2': 0.4438813328742981, 'rmse': 0.06294342}"
107,"{'sdr': -0.8064169436693192, 'r2': 0.4537118673324585, 'rmse': 0.061705068}"
108,"{'sdr': -1.0354609787464142, 'r2': 0.44067418575286865, 'rmse': 0.06335386}"
109,"{'sdr': -1.45392045378685, 'r2': 0.41707855463027954, 'rmse': 0.06648076}"
110,"{'sdr': -1.0540572553873062, 'r2': 0.43961936235427856, 'rmse': 0.06348964}"
111,"{'sdr': -1.0681506246328354, 'r2': 0.4388205409049988, 'rmse': 0.06359274}"
112,"{'sdr': -1.1798061430454254, 'r2': 0.4324951767921448, 'rmse': 0.064415485}"
113,"{'sdr': -1.1861032247543335, 'r2': 0.4321432113647461, 'rmse': 0.06446221}"
114,"{'sdr': -1.8706859648227692, 'r2': 0.3939492702484131, 'rmse': 0.06974841}"
115,"{'sdr': -1.5145833790302277, 'r2': 0.4136865735054016, 'rmse': 0.0669467}"
116,"{'sdr': -1.1069493740797043, 'r2': 0.43662363290786743, 'rmse': 0.06387744}"
117,"{'sdr': -0.8017221838235855, 'r2': 0.4539891481399536, 'rmse': 0.06167173}"
118,"{'sdr': -1.548309177160263, 'r2': 0.4118046164512634, 'rmse': 0.06720716}"
119,"{'sdr': -1.2578168511390686, 'r2': 0.42808598279953003, 'rmse': 0.06499664}"
120,"{'sdr': -0.5093448236584663, 'r2': 0.47071319818496704, 'rmse': 0.059630338}"
121,"{'sdr': -1.5390770137310028, 'r2': 0.4123193025588989, 'rmse': 0.06713576}"
122,"{'sdr': -1.4371711015701294, 'r2': 0.4180167317390442, 'rmse': 0.06635268}"
123,"{'sdr': -1.065564900636673, 'r2': 0.43897175788879395, 'rmse': 0.06357381}"
124,"{'sdr': -1.061330884695053, 'r2': 0.4391986131668091, 'rmse': 0.06354284}"
125,"{'sdr': -1.4360420405864716, 'r2': 0.4180787205696106, 'rmse': 0.06634407}"
126,"{'sdr': -1.1363930255174637, 'r2': 0.43495476245880127, 'rmse': 0.06409434}"
127,"{'sdr': -1.1235633492469788, 'r2': 0.43567126989364624, 'rmse': 0.063999735}"
128,"{'sdr': -1.3137370347976685, 'r2': 0.42494654655456543, 'rmse': 0.06541643}"
129,"{'sdr': -1.3800770044326782, 'r2': 0.4212203025817871, 'rmse': 0.065917976}"
130,"{'sdr': -1.2277715653181076, 'r2': 0.42978978157043457, 'rmse': 0.06477219}"
131,"{'sdr': -1.2313279509544373, 'r2': 0.42958998680114746, 'rmse': 0.06479871}"
132,"{'sdr': -1.0739953815937042, 'r2': 0.4384898543357849, 'rmse': 0.06363554}"
133,"{'sdr': -1.5104469656944275, 'r2': 0.41392046213150024, 'rmse': 0.06691483}"
134,"{'sdr': -1.112591102719307, 'r2': 0.4363020062446594, 'rmse': 0.06391894}"
135,"{'sdr': -1.147800236940384, 'r2': 0.43434906005859375, 'rmse': 0.06417856}"
136,"{'sdr': -0.9584388136863708, 'r2': 0.4450506567955017, 'rmse': 0.062794544}"
137,"{'sdr': -1.0779017210006714, 'r2': 0.4382675886154175, 'rmse': 0.06366416}"
138,"{'sdr': -1.327073723077774, 'r2': 0.4241962432861328, 'rmse': 0.065516956}"
139,"{'sdr': -1.4557170867919922, 'r2': 0.41697800159454346, 'rmse': 0.066494524}"
140,"{'sdr': -0.762031227350235, 'r2': 0.4562460780143738, 'rmse': 0.06139055}"
141,"{'sdr': -0.9649868309497833, 'r2': 0.44467824697494507, 'rmse': 0.062841915}"
142,"{'sdr': -1.4307981729507446, 'r2': 0.41837382316589355, 'rmse': 0.06630403}"
143,"{'sdr': -1.0330861806869507, 'r2': 0.4408096671104431, 'rmse': 0.06333654}"
144,"{'sdr': -1.6068609058856964, 'r2': 0.4085422158241272, 'rmse': 0.067661725}"
145,"{'sdr': -1.2596729397773743, 'r2': 0.4279915690422058, 'rmse': 0.065010525}"
146,"{'sdr': -0.9896044433116913, 'r2': 0.44327861070632935, 'rmse': 0.06302027}"
147,"{'sdr': -1.6965241730213165, 'r2': 0.4035634994506836, 'rmse': 0.0683638}"
148,"{'sdr': -1.2893642485141754, 'r2': 0.4263184070587158, 'rmse': 0.06523314}"
149,"{'sdr': -1.672816127538681, 'r2': 0.4048770070075989, 'rmse': 0.06817746}"
150,"{'sdr': -1.3299095630645752, 'r2': 0.4240369200706482, 'rmse': 0.06553835}"
151,"{'sdr': 4.867134690284729, 'r2': 0.7541154474020004, 'rmse': 0.03211022}"
152,"{'sdr': -0.7837089151144028, 'r2': 0.45500802993774414, 'rmse': 0.061543968}"
