,speech
0,"{'sdr': 2.4122869968414307, 'r2': 0.6353990733623505, 'rmse': 0.042597648}"
1,"{'sdr': 3.241884708404541, 'r2': 0.6784102022647858, 'rmse': 0.038717363}"
2,"{'sdr': 1.8703988194465637, 'r2': 0.6060339212417603, 'rmse': 0.045339853}"
3,"{'sdr': 5.30569314956665, 'r2': 0.7723592966794968, 'rmse': 0.030529195}"
4,"{'sdr': 3.781413733959198, 'r2': 0.7048927545547485, 'rmse': 0.036385585}"
5,"{'sdr': 4.6457672119140625, 'r2': 0.7445450723171234, 'rmse': 0.032939095}"
6,"{'sdr': 6.950381398200989, 'r2': 0.8320723325014114, 'rmse': 0.02526277}"
7,"{'sdr': 6.794123649597168, 'r2': 0.8269847631454468, 'rmse': 0.025721354}"
8,"{'sdr': 3.0499914288520813, 'r2': 0.6686936914920807, 'rmse': 0.03958225}"
9,"{'sdr': 1.9291941821575165, 'r2': 0.6092621982097626, 'rmse': 0.045033973}"
10,"{'sdr': 5.507187247276306, 'r2': 0.7804133296012878, 'rmse': 0.029829135}"
11,"{'sdr': 3.7379127740859985, 'r2': 0.7028054594993591, 'rmse': 0.036568265}"
12,"{'sdr': 3.7168365716934204, 'r2': 0.7017892301082611, 'rmse': 0.036657114}"
13,"{'sdr': 4.231984615325928, 'r2': 0.7260056734085083, 'rmse': 0.034546237}"
14,"{'sdr': 3.751850128173828, 'r2': 0.7034708261489868, 'rmse': 0.036509637}"
15,"{'sdr': 3.072921335697174, 'r2': 0.6698624789714813, 'rmse': 0.0394779}"
16,"{'sdr': 3.7443745136260986, 'r2': 0.7031151652336121, 'rmse': 0.03654107}"
17,"{'sdr': 5.0967806577682495, 'r2': 0.7637910097837448, 'rmse': 0.03127238}"
18,"{'sdr': 5.428324341773987, 'r2': 0.77728570997715, 'rmse': 0.030101197}"
19,"{'sdr': 4.23690140247345, 'r2': 0.7262308299541473, 'rmse': 0.03452669}"
20,"{'sdr': 4.268639087677002, 'r2': 0.7276812791824341, 'rmse': 0.03440076}"
21,"{'sdr': 4.480604529380798, 'r2': 0.7372452914714813, 'rmse': 0.033571426}"
22,"{'sdr': 2.786390483379364, 'r2': 0.6551128625869751, 'rmse': 0.040801905}"
23,"{'sdr': 4.616933166980743, 'r2': 0.7432802021503448, 'rmse': 0.033048622}"
24,"{'sdr': 2.529907524585724, 'r2': 0.6416462063789368, 'rmse': 0.042024706}"
25,"{'sdr': 4.285559356212616, 'r2': 0.7284526824951172, 'rmse': 0.03433381}"
26,"{'sdr': 6.463589668273926, 'r2': 0.8158216774463654, 'rmse': 0.026719023}"
27,"{'sdr': 5.790558457374573, 'r2': 0.7913902103900909, 'rmse': 0.02887168}"
